court_name,court_type,google_abbreviation
Supreme Court,Supreme Court,Supreme Court of United States.
United States Court of Appeals for the First Circuit,Circuit Court,"United States Court of Appeals, First Circuit."
United States Court of Appeals for the Second Circuit,Circuit Court,"United States Court of Appeals, Second Circuit."
United States Court of Appeals for the Third Circuit,Circuit Court,"United States Court of Appeals, Third Circuit."
United States Court of Appeals for the Fourth Circuit,Circuit Court,"United States Court of Appeals, Fourth Circuit."
United States Court of Appeals for the Fifth Circuit,Circuit Court,"United States Court of Appeals, Fifth Circuit."
United States Court of Appeals for the Sixth Circuit,Circuit Court,"United States Court of Appeals, Sixth Circuit."
United States Court of Appeals for the Seventh Circuit,Circuit Court,"United States Court of Appeals, Seventh Circuit."
United States Court of Appeals for the Eighth Circuit,Circuit Court,"United States Court of Appeals, Eighth Circuit."
United States Court of Appeals for the Ninth Circuit,Circuit Court,"United States Court of Appeals, Ninth Circuit."
United States Court of Appeals for the Tenth Circuit,Circuit Court,"United States Court of Appeals, Tenth Circuit."
United States Court of Appeals for the Eleventh Circuit,Circuit Court,"United States Court of Appeals, Eleventh Circuit."
United States Court of Appeals for the District of Columbia Circuit,Circuit Court,"United States District Court, District of Columbia."
United States Court of Appeals for the Federal Circuit,Circuit Court,"United States Court of Appeals, Federal Circuit."
United States District Court for the Northern District of Alabama,District Court,"United States District Court, N. D. Alabama."
United States District Court for the Middle District of Alabama,District Court,"United States District Court, M.D. Alabama."
United States District Court for the Southern District of Alabama,District Court,"United States District Court, S. D. Alabama."
United States District Court for the District of Alaska,District Court,"United States District Court, D. Alaska."
United States District Court for the District of Arizona,District Court,"United States District Court, D. Arizona."
United States District Court for the Eastern District of Arkansas,District Court,"United States District Court, E. D. Arkansas."
United States District Court for the Western District of Arkansas,District Court,"United States District Court, W. D. Arkansas."
United States District Court for the Northern District of California,District Court,"United States District Court, N. D. California."
United States District Court for the Eastern District of California,District Court,"United States District Court, E. D. California."
United States District Court for the Central District of California,District Court,"United States District Court, C. D. California."
United States District Court for the Southern District of California,District Court,"United States District Court, S. D. California."
United States District Court for the District of Colorado,District Court,"United States District Court, D. Colorado."
United States District Court for the District of Connecticut,District Court,"United States District Court, D. Connecticut."
United States District Court for the District of Delaware,District Court,"United States District Court, D. Delaware."
United States District Court for the District of Columbia,District Court,"United States District Court, District of Columbia."
United States District Court for the Northern District of Florida,District Court,"United States District Court, N. D. Florida."
United States District Court for the Middle District of Florida,District Court,"United States District Court, M.D. Florida."
United States District Court for the Southern District of Florida,District Court,"United States District Court, S. D. Florida."
United States District Court for the Northern District of Georgia,District Court,"United States District Court, N. D. Georgia."
United States District Court for the Middle District of Georgia,District Court,"United States District Court, M.D. Georgia."
United States District Court for the Southern District of Georgia,District Court,"United States District Court, S. D. Georgia."
United States District Court for the District of Hawaii,District Court,"United States District Court, D. Hawaii."
United States District Court for the District of Idaho,District Court,"United States District Court, D. Idaho."
United States District Court for the Northern District of Illinois,District Court,"United States District Court, N. D. Illinois."
United States District Court for the Central District of Illinois,District Court,"United States District Court, C. D. Illinois."
United States District Court for the Southern District of Illinois,District Court,"United States District Court, S. D. Illinois."
United States District Court for the Northern District of Indiana,District Court,"United States District Court, N. D. Indiana."
United States District Court for the Southern District of Indiana,District Court,"United States District Court, S. D. Indiana."
United States District Court for the Northern District of Iowa,District Court,"United States District Court, N. D. Iowa."
United States District Court for the Southern District of Iowa,District Court,"United States District Court, S. D. Iowa."
United States District Court for the District of Kansas,District Court,"United States District Court, D. Kansas."
United States District Court for the Eastern District of Kentucky,District Court,"United States District Court, E. D. Kentucky."
United States District Court for the Western District of Kentucky,District Court,"United States District Court, W. D. Kentucky."
United States District Court for the Eastern District of Louisiana,District Court,"United States District Court, E. D. Louisiana."
United States District Court for the Middle District of Louisiana,District Court,"United States District Court, M.D. Louisiana."
United States District Court for the Western District of Louisiana,District Court,"United States District Court, W. D. Louisiana."
United States District Court for the District of Maine,District Court,"United States District Court, D. Maine."
United States District Court for the District of Maryland,District Court,"United States District Court, D. Maryland."
United States District Court for the District of Massachusetts,District Court,"United States District Court, D. Massachusetts."
United States District Court for the Eastern District of Michigan,District Court,"United States District Court, E. D. Michigan."
United States District Court for the Western District of Michigan,District Court,"United States District Court, W. D. Michigan."
United States District Court for the District of Minnesota,District Court,"United States District Court, D. Minnesota."
United States District Court for the Northern District of Mississippi,District Court,"United States District Court, N. D. Mississippi."
United States District Court for the Southern District of Mississippi,District Court,"United States District Court, S. D. Mississippi."
United States District Court for the Eastern District of Missouri,District Court,"United States District Court, E. D. Missouri."
United States District Court for the Western District of Missouri,District Court,"United States District Court, W. D. Missouri."
United States District Court for the District of Montana,District Court,"United States District Court, D. Montana."
United States District Court for the District of Nebraska,District Court,"United States District Court, D. Nebraska."
United States District Court for the District of Nevada,District Court,"United States District Court, D. Nevada."
United States District Court for the District of New Hampshire,District Court,"United States District Court, D. New Hampshire."
United States District Court for the District of New Jersey,District Court,"United States District Court, D. New Jersey."
United States District Court for the District of New Mexico,District Court,"United States District Court, D. New Mexico."
United States District Court for the Northern District of New York,District Court,"United States District Court, N. D. New York."
United States District Court for the Southern District of New York,District Court,"United States District Court, S. D. New York."
United States District Court for the Eastern District of New York,District Court,"United States District Court, E. D. New York."
United States District Court for the Western District of New York,District Court,"United States District Court, W. D. New York."
United States District Court for the Eastern District of North Carolina,District Court,"United States District Court, E. D. North Carolina."
United States District Court for the Middle District of North Carolina,District Court,"United States District Court, M.D. North Carolina."
United States District Court for the Western District of North Carolina,District Court,"United States District Court, W. D. North Carolina."
United States District Court for the District of North Dakota,District Court,"United States District Court, D. North Dakota."
United States District Court for the Northern District of Ohio,District Court,"United States District Court, N. D. Ohio."
United States District Court for the Southern District of Ohio,District Court,"United States District Court, S. D. Ohio."
United States District Court for the Northern District of Oklahoma,District Court,"United States District Court, N. D. Oklahoma."
United States District Court for the Eastern District of Oklahoma,District Court,"United States District Court, E. D. Oklahoma."
United States District Court for the Western District of Oklahoma,District Court,"United States District Court, W. D. Oklahoma."
United States District Court for the District of Oregon,District Court,"United States District Court, D. Oregon."
United States District Court for the Eastern District of Pennsylvania,District Court,"United States District Court, E. D. Pennsylvania."
United States District Court for the Middle District of Pennsylvania,District Court,"United States District Court, M.D. Pennsylvania."
United States District Court for the Western District of Pennsylvania,District Court,"United States District Court, W. D. Pennsylvania."
United States District Court for the District of Puerto Rico,District Court,"United States District Court, D. Puerto Rico."
United States District Court for the District of Rhode Island,District Court,"United States District Court, D. Rhode Island."
United States District Court for the District of South Carolina,District Court,"United States District Court, D. South Carolina."
United States District Court for the District of South Dakota,District Court,"United States District Court, D. South Dakota."
United States District Court for the Eastern District of Tennessee,District Court,"United States District Court, E. D. Tennessee."
United States District Court for the Middle District of Tennessee,District Court,"United States District Court, M.D. Tennessee."
United States District Court for the Western District of Tennessee,District Court,"United States District Court, W. D. Tennessee."
United States District Court for the Northern District of Texas,District Court,"United States District Court, N. D. Texas."
United States District Court for the Eastern District of Texas,District Court,"United States District Court, E. D. Texas."
United States District Court for the Southern District of Texas,District Court,"United States District Court, S. D. Texas."
United States District Court for the Western District of Texas,District Court,"United States District Court, W. D. Texas."
United States District Court for the District of Utah,District Court,"United States District Court, D. Utah."
United States District Court for the District of Vermont,District Court,"United States District Court, D. Vermont."
United States District Court for the District of the Virgin Islands,District Court,"District Court, Virgin Islands, D. St. Thomas and St. John."
United States District Court for the Eastern District of Virginia,District Court,"United States District Court, E. D. Virginia."
United States District Court for the Western District of Virginia,District Court,"United States District Court, W. D. Virginia."
United States District Court for the Eastern District of Washington,District Court,"United States District Court, E. D. Washington."
United States District Court for the Western District of Washington,District Court,"United States District Court, W. D. Washington."
United States District Court for the Northern District of West Virginia,District Court,"United States District Court, N. D. West Virginia."
United States District Court for the Southern District of West Virginia,District Court,"United States District Court, S. D. West Virginia."
United States District Court for the Eastern District of Wisconsin,District Court,"United States District Court, E. D. Wisconsin."
United States District Court for the Western District of Wisconsin,District Court,"United States District Court, W. D. Wisconsin."
United States District Court for the District of Wyoming,District Court,"United States District Court, D. Wyoming."
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
